Date,UC 100mg SQ TRx,CD 100mg SQ TRx,IBD 100mg SQ TRx,UC 200mg SQ TRx,CD 200mg SQ TRx,IBD 200mg SQ TRx,UC Induction,CD Induction,IBD Induction
2024/09/13,2.900122827510469,5.4289317160135315,8.329054543524,0,0,0,0,0,0
2024/09/20,2.8666792877505394,5.366326542199461,8.23300582995,0,0,0,0,0,0
2024/09/27,2.8199845334249383,5.278915543491063,8.098900076916001,0,0,0,0,0,0
2024/10/04,2.9376306450977525,5.357057843430247,8.294688488528,0,0,0,0,0,0
2024/10/11,2.67640758891958,4.88069195845442,7.557099547374,0,0,0,0,0,0
2024/10/18,2.9489180612871695,5.37764155484083,8.326559616128,0,0,0,0,0,0
2024/10/25,2.7586444770894083,5.030658996524592,7.789303473614,0,0,0,0,0,0
2024/11/01,2.9907522589653017,5.2810630478807,8.271815306846001,1.311715,0,1.311715,0,0,0
2024/11/08,3.5170454563385616,6.21039029277944,9.727435749118001,0,0,0,0,0,0
2024/11/15,3.2955601870828377,5.819292144275163,9.114852331358001,3.912783,0,3.912783,0,0,0
2024/11/22,3.2895802666785645,5.808732815403436,9.098313082082,3.925147,0,3.925147,0,0,0
2024/11/29,2.3417667088140606,4.13508594555194,6.4768526543660006,1.306348,0,1.306348,0,0,0
2024/12/06,3.5747838927695805,6.39359468842642,9.968378581196001,2.509047,0,2.509047,0,0,0
2024/12/13,3.301580624081553,5.904963481634447,9.206544105716,13.797738,0,13.797738,0,0,0
2024/12/20,3.3456934894916124,5.983860497632389,9.329553987124001,3.771741,0,3.771741,0,0,0
2024/12/27,2.416012124886416,4.3211010097955835,6.737113134682,12.519992,0,12.519992,0,0,0
2025/01/03,6.145423151516477,0.9825908178935236,7.12801396941,13.96658378102439,2.327494218975609,16.294078,0,0,0
2025/01/10,10.354417566223768,1.655566325436233,12.009983891660001,16.55413647343239,2.75870302617561,19.312839499608,0,0,0
2025/01/17,11.036150028713124,1.7645684301548776,12.800718458868001,19.356316381878184,3.225678890831812,22.581995272709996,0,0,0
2025/01/24,9.348136490159208,1.494672189884792,10.842808680044,22.26324840831673,3.7101114186832653,25.973359826999996,0,0,0
