MONTH_DATE,RA / JIA,CD,PsA (Rheum),UC,AS,HS,Ps,UVEITIS,PsA (Derm),GCA
2025-12-01,80153.99,35616.05,22967.18,17754.89,14312.11,13145.77,11756.91,4709.63,3418.67,178.49
2026-01-01,56396.41,24775.1,16032.29,12415.34,10109.03,8936.36,8080.98,2776.36,2412.88,117.03
2026-02-01,52182.62,23103.53,14744.08,11652.78,9366.14,8218.31,7365.17,2594.98,2229.38,102.36
2026-03-01,53641.82,24541.74,15309.22,12336.13,9869.79,8996.6,7552.63,3080.84,2282.61,101.06
2026-04-01,48411.04,22859.79,14143.8,11386.64,9159.53,8656.24,6776.91,3015.13,2044.86,88.58
2026-05-01,49379.26,23316.99,14426.68,11614.38,9342.72,8829.37,6912.45,3075.43,2085.76,90.35
